id,reason,predicted_span_text,review_text
viocd_train_1058,text_not_in_review,lần này cũng vậy chả lẻ mỗi điện thoại chỉ tải được một game như thế này thôi sao,"mỗi lần cập nhật lại tốn mấy trăm mình dung lượng. lần này cũng vậy chả lẻ mỗi điện thoại chỉ tải  được  một game như thế này thôi sao? iG nên xem xét lại mà giảm bớt dung lượng game lại đi, còn không có thể iG sẽ giảm bớt nhiều người chơi đấy nhé! mỗi lần cập nhật đa phần không có tính năng nào hay ho ngoại... bài đánh giá đầy đủ"
viocd_train_4262,text_not_in_review,không quay ngang duoc dien thoai,không  quay ngang duoc dien thoai.
viocd_train_220,text_not_in_review,thấy trả lời bình luận 1m5x 55 60 không vẫn vừa cỡ l,"thấy trả lời bình luận 1m5x 55 60 không vẫn vừa  cỡ  l, mình có 51 không mặc  cỡ  lồn vẫn chật! chán chả buồn nói 😒😒😒"
viocd_train_220,text_not_in_review,mình có 51 không mặc cỡ lồn vẫn chật,"thấy trả lời bình luận 1m5x 55 60 không vẫn vừa  cỡ  l, mình có 51 không mặc  cỡ  lồn vẫn chật! chán chả buồn nói 😒😒😒"
viocd_train_4259,text_not_in_review,cửa hàng có mỗi chuyện gửi địa chỉ để khách đổi hàng cũng không làm được,"quần chất đẹp, nhưng bị chật. mà  cửa hàng  có mỗi chuyện gửi địa chỉ để khách đổi hàng cũng không làm được."
viocd_train_2655,text_not_in_review,giao đồ không đúng như mẫu mình đã đặt,cửa hàng  giao đồ  không  đúng như mẫu mình đã đặt nha..... hơi thất vọng síu với lại đồ hơi nhân đồ củng được nói chung củng chấp nhận  được  mà đề ngị lần sau  cửa hàng  nên cho khách hàng kiểm tra hàng trước thì hay hơn  gì i nếu hàng lỗi còn đổi liền  được  chứ  không  cho kiểm hàng thì hàng lỗi thì lổ cho khách hàng rồi..... đây là ý kiến riêng của mình nếu  cửa hàng  cho kiểm hàng trước thì lần sau mình ủng hộ tiếp nha
viocd_train_746,text_not_in_review,hov gì thì không học cứ bấm vào phần chọn sticker nghịch hoài,không có khống chế phần tải về nội dung khoá học. bé cứ bấm vào tải về quá trời làm máy đơ luôn. cả phần chơi sticker nữa. hov gì  thì không học cứ bấm vào phần chọn sticker nghịch hoài.
viocd_train_2797,text_not_in_review,em không vào aP được ạ,em không vào aP  được  ạ. bấm vào cứ out ra thôi ạ
viocd_train_2677,text_not_in_review,mua cỡ 39 cửa hàng gửi 38 chẳng nhẽ lại không nhận hàng,mua  cỡ  39  cửa hàng  gửi 38 chẳng nhẽ lại không nhận hàng. cửa hàng  chốt đơn chán ghê
viocd_train_2677,text_not_in_review,cửa hàng chốt đơn chán ghê,mua  cỡ  39  cửa hàng  gửi 38 chẳng nhẽ lại không nhận hàng. cửa hàng  chốt đơn chán ghê
viocd_train_328,text_not_in_review,mong admin xem xét lại chứ cư như này thì không được đâu,tôi không biết tại vì sao . tự nhiên tài khoản của tôi mất hết biệt hiệu và màu sắc cũng như mất cả cảm xúc. tôi cài đặt lại thì không có phần biệu tượng cảm xúc màu và biệt hiệu để thay đổi. tôi xoá mes đi tải lại cũng không được. mong admin xem xét lại chứ cư như này thì không  được  đâu.
viocd_train_2290,text_not_in_review,sao không đánh giá 1star được nhỉ!?,"sao không đánh giá  1star    được  nhỉ!? tiếc cái công 2 tháng chơi game, anh em nào tưởng hay thì chớ có dại nhé, sau hối không kịp"
viocd_train_2813,text_not_in_review,giao không đúng màu,vải quá xấu . giao  không đúng màu
viocd_train_1477,text_not_in_review,nagative giao hàng lâu,đồ rất đẹp nha mọi người giống hình lắm luôn giá rẻ nhưng giặc ra màu mặc một lần đổ lông rồi  nagative  giao hàng lâu nói chung giá vậy là rất được sẽ ủng hộ lần sao
viocd_train_2258,text_not_in_review,hơi buồn chút xíu vì đăt gì cỡ 37 rồi màDi vẫn bé,hơi buồn chút xíu vì đăt gì  cỡ 37 rồi màDi vẫn bé . (mặc dù đi thử của chị cỡ 36 và vẫn vừa thậmchis còn thừa một chút) còn đi cũng được
viocd_train_3520,text_not_in_review,muốn hoàn tiền lại nhưng sao tôi không hoàn tiền được ạ,game khá hay nhưng bây giờ tôi muốn hoàn tiền lại nhưng sao tôi không hoàn tiền  được  ạ
viocd_train_1235,text_not_in_review,giao cỡ lồn nho hon m,cửa hàng  giao  cỡ  lồn nho hon m... buon
viocd_train_2090,text_not_in_review,sao cái game nó còn lag hơn cái quả người cáo vậy.,"ý tưởng hay , thú vị nhưng sao cái game nó còn lag hơn cái  quả người cáo vậy. lag đơ máy ấy.  quả người cáo ta nói nó mượt gì đâu á. fix game đi rồi tính tiếp"
viocd_train_531,text_not_in_review,chất vải quá tệ,chất  vải quá tệ. day lưng quần thì  không  phải nói nó nhỏ tí mỏng te.
viocd_train_531,text_not_in_review,day lưng quần thì không phải nói nó nhỏ tí mỏng te,chất  vải quá tệ. day lưng quần thì  không  phải nói nó nhỏ tí mỏng te.
viocd_train_4165,text_not_in_review,giao hàng không đúng cỡ,"giao hàng không đúng  cỡ , tôi mua một m, một lồn giao 2 mình đề nghị đổi lại"
viocd_train_4362,text_not_in_review,cỡ lồn hơi ngắn,quần đẹp nhưng  cỡ  lồn hơi ngắn
viocd_train_1731,text_not_in_review,đặt cỡ 36.37 mà giao cỡ 39,đặt  cỡ  36.37 mà giao  cỡ  39 . khỏi mang
viocd_train_2526,text_not_in_review,không tặng son như quả người cáo,không tặng son như  quả người cáo
viocd_train_416,text_not_in_review,phí giao hàng đã cao rồi mà còn tính thêm cả phí dịch vụ positive toàn kiếm cách moi móc tiền,rất tệ. lừa đảo tiền. không có nút huỷ đơn hàng. nếu bạn mò mò mà ấn nhầm thì xác định là phải trả tiền trong nước mắt thôi. phí giao hàng đã cao rồi mà còn tính thêm cả phí dịch vụ  positive  toàn kiếm cách moi móc tiền. nói chung là mình xoá aP.
viocd_train_251,text_not_in_review,nhung ma tôi thich parkout . nhung tôi tai map parkout sao no không được,game thi cux hay . nhung ma tôi thich parkout . nhung tôi tai map parkout sao no không  được  . game tôi tai = 200k đi đéo mẹ . admin xem rồi sua lai loi game  gì đăng @@
viocd_train_251,text_not_in_review,admin xem rồi sua lai loi game gì đăng @@,game thi cux hay . nhung ma tôi thich parkout . nhung tôi tai map parkout sao no không  được  . game tôi tai = 200k đi đéo mẹ . admin xem rồi sua lai loi game  gì đăng @@
viocd_train_2094,text_not_in_review,không mặc không vừa,1m60 46 không mặc  không  vừa quần ngắn chặt
viocd_validation_459,text_not_in_review,cửa hàng bán nhiều trang phục hơn nữa,"game hay, trang phục đẹp, cốt truyện hấp dẫn. nhưng mumu cần ra ít sự kiện thôi vì cứ dồn dập sự kiện như thế thì kim cương moi đâu ra đây. nên cho thêm chức năng là các star có thể nhắn tin với nhau và thi đấu với nhau.  cửa hàng  bán nhiều trang phục hơn nữa. khi các star thi đấu thua, mumu hãy an ủi, đ... bài đánh giá đầy đủ"
viocd_validation_145,text_not_in_review,không được đồng kiểm hàng nên dễ mua phải hàng không đúng quả,"không được đồng kiểm hàng nên dễ mua phải hàng không đúng  quả người cáo, dù rằng nếu kiểm hàng thì cũng có những người sẽ không nhận hàng và người bán phải chịu chi phí ship, cái gì cũng có 2 mặt, nhưng lazada không bảo vệ người tiêu dùng thì tôi đã chuyển sang mua hàng ở  cửa hàng E ( được kiểm hàng trước khi ... bài đánh giá đầy đủ"
