setting_type,method,label,precision,recall,f1,support
direct,mbert_ce,O,0.887,0.8965,0.0,11580
direct,mbert_ce,B-COMP,0.5039,0.3743,0.0,513
direct,mbert_ce,I-COMP,0.6854,0.6868,0.0,3841
direct,phobert_ce,O,0.8944,0.9117,0.0,11606
direct,phobert_ce,B-COMP,0.5144,0.384,0.0,513
direct,phobert_ce,I-COMP,0.7227,0.705,0.0,3841
direct,phobert_weighted_ce,O,0.9016,0.9069,0.0,11606
direct,phobert_weighted_ce,B-COMP,0.4964,0.4074,0.0,513
direct,phobert_weighted_ce,I-COMP,0.7208,0.7251,0.0,3841
direct,xlm_roberta_ce,O,0.9008,0.9049,0.0,11598
direct,xlm_roberta_ce,B-COMP,0.5378,0.3743,0.0,513
direct,xlm_roberta_ce,I-COMP,0.7089,0.7279,0.0,3841
transfer,aux_all_then_complaint,O,0.8986,0.9158,0.0,11606
transfer,aux_all_then_complaint,B-COMP,0.5058,0.423,0.0,513
transfer,aux_all_then_complaint,I-COMP,0.7372,0.7108,0.0,3841
transfer,causasent_then_complaint,O,0.9025,0.9028,0.0,11606
transfer,causasent_then_complaint,B-COMP,0.4909,0.4191,0.0,513
transfer,causasent_then_complaint,I-COMP,0.7129,0.7261,0.0,3841
transfer,uvisd4sa_then_complaint,O,0.9028,0.911,0.0,11606
transfer,uvisd4sa_then_complaint,B-COMP,0.5332,0.423,0.0,513
transfer,uvisd4sa_then_complaint,I-COMP,0.729,0.7292,0.0,3841
